st_id,timest,correct,subject
100379,2021-10-30 13:32:29,1,Theory of probability
100379,2021-10-30 14:11:19,0,Vizualization
100379,2021-10-30 15:54:22,1,Theory of probability
100379,2021-10-30 16:44:50,1,Vizualization
100379,2021-10-30 17:15:05,1,Theory of probability
100379,2021-10-30 18:02:37,1,Theory of probability
100379,2021-10-30 18:17:25,1,Vizualization
100379,2021-10-30 18:32:26,0,Theory of probability
100379,2021-10-30 19:19:33,1,Vizualization
100379,2021-10-30 19:28:03,1,Theory of probability
100379,2021-10-30 20:23:01,0,Theory of probability
100379,2021-10-30 20:32:21,1,Theory of probability
100379,2021-10-30 20:58:01,0,Vizualization
100379,2021-10-30 22:01:45,1,Theory of probability
100379,2021-10-30 23:00:35,0,Theory of probability
100379,2021-10-30 23:05:06,0,Theory of probability
100379,2021-10-30 23:15:23,1,Vizualization
100379,2021-10-30 23:57:55,0,Vizualization
100379,2021-10-31 00:26:32,1,Theory of probability
100379,2021-10-31 00:39:39,0,Theory of probability
100379,2021-10-31 01:16:04,0,Vizualization
100379,2021-10-31 01:59:42,1,Theory of probability
100379,2021-10-31 03:23:52,0,Theory of probability
100379,2021-10-31 03:45:31,0,Theory of probability
100379,2021-10-31 03:58:40,0,Theory of probability
100379,2021-10-31 04:40:35,1,Vizualization
100379,2021-10-31 04:46:32,0,Vizualization
100379,2021-10-31 05:37:41,1,Theory of probability
100379,2021-10-31 06:31:46,0,Vizualization
100379,2021-10-31 06:57:57,0,Theory of probability
100379,2021-10-31 07:10:01,1,Vizualization
100379,2021-10-31 07:18:41,1,Vizualization
100379,2021-10-31 08:02:50,1,Vizualization
100379,2021-10-31 09:05:07,1,Theory of probability
100379,2021-10-31 09:09:36,0,Theory of probability
100379,2021-10-31 09:15:44,0,Theory of probability
100379,2021-10-31 09:21:54,1,Vizualization
100379,2021-10-31 09:34:31,0,Theory of probability
100379,2021-10-31 10:54:22,1,Theory of probability
100379,2021-10-31 11:16:42,1,Vizualization
100379,2021-10-31 11:37:06,1,Theory of probability
100379,2021-10-31 11:46:35,0,Theory of probability
100379,2021-10-31 11:48:40,1,Theory of probability
100379,2021-10-31 12:00:34,1,Vizualization
100379,2021-10-31 12:28:36,1,Theory of probability
100379,2021-10-31 12:33:27,0,Vizualization
100379,2021-10-31 12:51:54,1,Vizualization
101432,2021-10-30 13:14:00,1,Theory of probability
101432,2021-10-30 14:04:07,0,Theory of probability
101432,2021-10-30 16:28:58,1,Theory of probability
101432,2021-10-30 16:31:06,1,Theory of probability
101432,2021-10-30 17:14:50,1,Theory of probability
101432,2021-10-30 18:23:42,0,Theory of probability
101432,2021-10-30 19:31:34,1,Theory of probability
101432,2021-10-30 20:48:47,1,Theory of probability
101432,2021-10-30 20:56:06,0,Theory of probability
101432,2021-10-30 22:28:59,0,Theory of probability
101432,2021-10-30 22:42:28,0,Theory of probability
101432,2021-10-30 22:45:42,0,Theory of probability
101432,2021-10-30 23:42:36,0,Theory of probability
101432,2021-10-31 00:49:24,0,Theory of probability
101432,2021-10-31 01:12:38,1,Theory of probability
101432,2021-10-31 02:02:50,1,Theory of probability
101432,2021-10-31 03:24:17,1,Theory of probability
101432,2021-10-31 04:08:24,0,Theory of probability
101432,2021-10-31 05:02:50,0,Theory of probability
101432,2021-10-31 06:28:38,1,Theory of probability
101432,2021-10-31 08:04:20,1,Theory of probability
101432,2021-10-31 09:22:12,0,Theory of probability
101432,2021-10-31 09:25:07,1,Theory of probability
101432,2021-10-31 10:18:11,1,Theory of probability
101432,2021-10-31 10:27:17,0,Theory of probability
101432,2021-10-31 10:50:56,0,Theory of probability
101432,2021-10-31 12:09:55,0,Theory of probability
101432,2021-10-31 12:42:18,1,Theory of probability
104885,2021-10-30 16:51:48,0,Python
104885,2021-10-30 17:19:34,1,Python
104885,2021-10-30 18:48:04,1,Python
104885,2021-10-30 20:24:27,1,Python
104885,2021-10-30 20:47:16,1,Statistics
104885,2021-10-31 01:23:31,1,Statistics
